"ano","nome_acao","cod_acao","unidade_orcamentaria","valor_pago"
"2002","Estudos para Inserção Curricular de Educação para o Trânsito no Sistema de Ensino ","1769","Fundo Nacional de Segurança e Educação do Trânsito ","2240470.34"
"2002","Implantação da Municipalização do Trânsito ","3819","Ministério da Justiça ","1204.89"
"2002","Implantação do Sistema Nacional de Estatística de Trânsito - SINET ","1802","Ministério da Justiça ","1066.19"
"2002","Inspeção dos Órgãos de Trânsito ","2716","Ministério da Justiça ","590905.73"
"2002","Patrulhamento Ostensivo e Controle de Trânsito nas Rodovias e Estradas Federais ","2723","Departamento de Polícia Rodoviária Federal ","26691661.16"
"2002","Sistema Nacional de Estatística de Trânsito - SINET ","2741","Fundo Nacional de Segurança e Educação do Trânsito ","1215485.66"
"2002","Vigilância e Fiscalização do Trânsito Interestadual de Animais e seus Produtos ","2139","Ministério da Agricultura, Pecuária e Abastecimento ","23651372.08"
"2002","Vigilância e Fiscalização do Trânsito Interestadual de Vegetais e seus Produtos ","2134","Ministério da Agricultura, Pecuária e Abastecimento ","7380936.43"
"2002","Vigilância e Fiscalização do Trânsito Internacional de Animais e seus Produtos ","2181","Ministério da Agricultura, Pecuária e Abastecimento ","3522267.10"
"2002","Vigilância e Fiscalização do Trânsito Internacional de Vegetais e seus Produtos ","2180","Ministério da Agricultura, Pecuária e Abastecimento ","1830873.85"
"2003","Apoio a Projetos Intersetoriais de Prevenção de Acidentes de Trânsito","1243","Ministério da Justiça","0"
"2003","Apoio a Projetos Intersetoriais de Prevenção de Acidentes de Trânsito","1243","Ministério das Cidades","4422373.14"
"2003","Campanha Educativa para Prevenção de Acidentes de Trânsito","1706","Fundo Nacional de Segurança e Educação do Trânsito","0"
"2003","Campanha Educativa para Prevenção de Acidentes de Trânsito","1706","Fundo Nacional de Segurança e Educação do Trânsito ","314366.00"
"2003","Capacitação de Agentes para a Fiscalização de Trânsito e Habilitação de Condutores","1711","Fundo Nacional de Segurança e Educação do Trânsito","0"
"2003","Capacitação de Agentes para a Fiscalização de Trânsito e Habilitação de Condutores","1711","Fundo Nacional de Segurança e Educação do Trânsito ","0"
"2003","Certificação de Equipamentos para a Fiscalização de Trânsito","2703","Fundo Nacional de Segurança e Educação do Trânsito","0"
"2003","Certificação de Equipamentos para a Fiscalização de Trânsito","2703","Fundo Nacional de Segurança e Educação do Trânsito ","4097"
"2003","Estudos para Inserção Curricular de Educação para o Trânsito no Sistema de Ensino","1769","Fundo Nacional de Segurança e Educação do Trânsito","0"
"2003","Estudos para Inserção Curricular de Educação para o Trânsito no Sistema de Ensino","1769","Fundo Nacional de Segurança e Educação do Trânsito ","0"
"2003","Implantação da Municipalização do Trânsito","3819","Ministério da Justiça","0"
"2003","Implantação da Municipalização do Trânsito","3819","Ministério das Cidades","52456.33"
"2003","Implantação do Sistema Nacional de Estatística de Trânsito - SINET","1802","Ministério da Justiça","0"
"2003","Implantação do Sistema Nacional de Estatística de Trânsito - SINET","1802","Ministério das Cidades","0"
"2003","Inspeção dos Órgãos de Trânsito","2716","Ministério da Justiça","0"
"2003","Inspeção dos Órgãos de Trânsito","2716","Ministério das Cidades","887372.86"
"2003","Patrulhamento Ostensivo e Controle de Trânsito nas Rodovias e Estradas Federais","2723","Departamento de Polícia Rodoviária Federal","36338717.09"
"2003","Sistema Nacional de Estatística de Trânsito - SINET","2741","Fundo Nacional de Segurança e Educação do Trânsito","0"
"2003","Sistema Nacional de Estatística de Trânsito - SINET","2741","Fundo Nacional de Segurança e Educação do Trânsito ","69091.30"
"2003","Vigilância e Fiscalização do Trânsito Interestadual de Animais e seus Produtos","2139","Ministério da Agricultura, Pecuária e Abastecimento","13060393.77"
"2003","Vigilância e Fiscalização do Trânsito Interestadual de Vegetais e seus Produtos","2134","Ministério da Agricultura, Pecuária e Abastecimento","5607133.46"
"2003","Vigilância e Fiscalização do Trânsito Internacional de Animais e seus Produtos","2181","Ministério da Agricultura, Pecuária e Abastecimento","2404554.97"
"2003","Vigilância e Fiscalização do Trânsito Internacional de Vegetais e seus Produtos","2180","Ministério da Agricultura, Pecuária e Abastecimento","1471955.61"
"2004","Apoio à Capacitação de Agentes do Sistema Nacional de Trânsito","0626","Fundo Nacional de Segurança e Educação do Trânsito","58411.08"
"2004","Educação para a Cidadania no Trânsito","4414","Fundo Nacional de Segurança e Educação do Trânsito","1095619.64"
"2004","Fomento a Pesquisa e Desenvolvimento Tecnológico na Área de Trânsito","4398","Fundo Nacional de Segurança e Educação do Trânsito","275000"
"2004","Fomento a Projetos destinados à Redução de Acidentes no Trânsito","1243","Fundo Nacional de Segurança e Educação do Trânsito","200000"
"2004","Fomento a Projetos destinados à Redução de Acidentes no Trânsito","1243","Ministério das Cidades","108715.89"
"2004","Formulação da Política Nacional de Trânsito","4402","Fundo Nacional de Segurança e Educação do Trânsito","148859.07"
"2004","Implantação e Integração de Sistemas de Dados e Informações do Sistema Nacional de Trânsito","5162","Fundo Nacional de Segurança e Educação do Trânsito","67451.64"
"2004","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","284344.34"
"2004","Melhoria da Fiscalização de Trânsito pelos Órgãos do Sistema Nacional de Trânsito","4408","Fundo Nacional de Segurança e Educação do Trânsito","298687.76"
"2004","Melhoria da Fiscalização de Trânsito pelos Órgãos do Sistema Nacional de Trânsito","4408","Ministério das Cidades","117184.62"
"2004","Patrulhamento Ostensivo e Controle de Trânsito nas Rodovias Federais","2723","Departamento de Polícia Rodoviária Federal","30150256.30"
"2004","Remuneração dos Departamentos Estaduais de Trânsito e de Outras Entidades pelo Processamento de Infrações ao Código Brasileiro de Trânsito","86A1","Departamento de Polícia Rodoviária Federal","0"
"2004","Sistema de Informações do Sistema Nacional de Trânsito","4410","Fundo Nacional de Segurança e Educação do Trânsito","36226012.61"
"2004","Vigilância e Fiscalização do Trânsito Interestadual de Animais e seus Produtos","2139","Ministério da Agricultura, Pecuária e Abastecimento","1814649.29"
"2004","Vigilância e Fiscalização do Trânsito Interestadual de Vegetais e seus Produtos","2134","Ministério da Agricultura, Pecuária e Abastecimento","2390739.56"
"2004","Vigilância e Fiscalização do Trânsito Interestadual de Vegetais e seus Produtos (Crédito Extraordinário)","8505","Ministério da Agricultura, Pecuária e Abastecimento","1034849.30"
"2004","Vigilância e Fiscalização do Trânsito Internacional de Animais e seus Produtos","2181","Ministério da Agricultura, Pecuária e Abastecimento","346162.37"
"2004","Vigilância e Fiscalização do Trânsito Internacional de Vegetais e seus Produtos","2180","Ministério da Agricultura, Pecuária e Abastecimento","597145.64"
"2005","Capacitação de Profissionais do Sistema Nacional de Trânsito","6622","Fundo Nacional de Segurança e Educação do Trânsito","788973.83"
"2005","Educação para a Cidadania no Trânsito","4414","Fundo Nacional de Segurança e Educação do Trânsito","2622680.10"
"2005","Fomento a Pesquisa e Desenvolvimento Tecnológico na Área de Trânsito","4398","Fundo Nacional de Segurança e Educação do Trânsito","587400"
"2005","Fomento a Projetos Destinados à Redução de Acidentes no Trânsito","8487","Fundo Nacional de Segurança e Educação do Trânsito","2591.90"
"2005","Fomento a Projetos Destinados à Redução de Acidentes no Trânsito","8487","Ministério das Cidades","6617.94"
"2005","Implantação e Integração de Sistemas de Dados e Informações do Sistema Nacional de Trânsito","5162","Fundo Nacional de Segurança e Educação do Trânsito","1285.1"
"2005","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","173043.87"
"2005","Melhoria da Fiscalização de Trânsito pelos Órgãos do Sistema Nacional de Trânsito","4408","Fundo Nacional de Segurança e Educação do Trânsito","2886.37"
"2005","Melhoria da Fiscalização de Trânsito pelos Órgãos do Sistema Nacional de Trânsito","4408","Ministério das Cidades","0"
"2005","Policiamento Ostensivo e Controle de Trânsito na Malha Rodoviária                             ","2723","Departamento de Polícia Rodoviária Federal","37289839.96"
"2005","Remuneração dos Departamentos Estaduais de Trânsito e de Outras Entidades pelo Processamento de Infrações ao Código Brasileiro de Trânsito                ","86A1","Departamento de Polícia Rodoviária Federal","12849910.12"
"2005","Sistema de Informações do Sistema Nacional de Trânsito","4410","Fundo Nacional de Segurança e Educação do Trânsito","39423708.19"
"2005","Vigilância e Fiscalização do Trânsito Interestadual de Animais e seus Produtos","2139","Ministério da Agricultura, Pecuária e Abastecimento","2064147.41"
"2005","Vigilância e Fiscalização do Trânsito Interestadual de Vegetais e seus Produtos","2134","Ministério da Agricultura, Pecuária e Abastecimento","1804591.57"
"2005","Vigilância e Fiscalização do Trânsito Internacional de Animais e seus Produtos","2181","Ministério da Agricultura, Pecuária e Abastecimento","973862.47"
"2005","Vigilância e Fiscalização do Trânsito Internacional de Vegetais e seus Produtos","2180","Ministério da Agricultura, Pecuária e Abastecimento","1159988.31"
"2006","Capacitação de Profissionais do Sistema Nacional de Trânsito","6622","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","3584426.73"
"2006","Educação para a Cidadania no Trânsito","4414","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","1981067.49"
"2006","Fomento a Pesquisa e Desenvolvimento Tecnológico na Área de Trânsito","4398","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","240873.33"
"2006","Fomento a Projetos Destinados à Redução de Acidentes no Trânsito","8487","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2006","Fomento a Projetos Destinados à Redução de Acidentes no Trânsito","8487","Ministério das Cidades","0"
"2006","Implantação e Integração de Sistemas de Dados e Informações do Sistema Nacional de Trânsito","5162","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","343814.98"
"2006","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","152343.74"
"2006","Melhoria da Fiscalização de Trânsito pelos Órgãos do Sistema Nacional de Trânsito","4408","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","240010"
"2006","Melhoria da Fiscalização de Trânsito pelos Órgãos do Sistema Nacional de Trânsito","4408","Ministério das Cidades","0"
"2006","Processamento, Remuneração dos Departamentos Estaduais de Trânsito e Arrecadação de Multas Aplicadas pela Polícia Rodoviária Federal","86A1","Departamento de Polícia Rodoviária Federal","10505347.66"
"2006","Sistema de Informações do Sistema Nacional de Trânsito","4410","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","34865874.11"
"2006","Vigilância e Fiscalização do Trânsito Interestadual de Animais e seus Produtos","2139","Ministério da Agricultura, Pecuária e Abastecimento","974459.38"
"2006","Vigilância e Fiscalização do Trânsito Interestadual de Vegetais e seus Produtos","2134","Ministério da Agricultura, Pecuária e Abastecimento","1962063.93"
"2006","Vigilância e Fiscalização do Trânsito Internacional de Animais e seus Produtos","2181","Ministério da Agricultura, Pecuária e Abastecimento","1564194.18"
"2006","Vigilância e Fiscalização do Trânsito Internacional de Vegetais e seus Produtos","2180","Ministério da Agricultura, Pecuária e Abastecimento","1194448.81"
"2007","Capacitação de Profissionais do Sistema Nacional de Trânsito","6622","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","1250776"
"2007","Educação para a Cidadania no Trânsito","4414","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","3626949.03"
"2007","Fomento a Pesquisa e Desenvolvimento Tecnológico na Área de Trânsito","4398","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","118648.02"
"2007","Fomento a Projetos Destinados à Redução de Acidentes no Trânsito","8487","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","950000"
"2007","Fomento a Projetos Destinados à Redução de Acidentes no Trânsito","8487","Ministério das Cidades","50000"
"2007","Implantação e Integração de Sistemas de Dados e Informações do Sistema Nacional de Trânsito","5162","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2007","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","0"
"2007","Melhoria da Fiscalização de Trânsito pelos Órgãos do Sistema Nacional de Trânsito","4408","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","450000"
