_normalized_mun_slug,_normalized_mun_cod_ibge,vlr_investimento_sum,vlr_desembolsado_sum,vlr_investimento_por_populacao,vlr_desembolsado_por_populacao,populacao
jaborandi-ba,2917359,600000,592000,Infinity,Infinity,
almenara-mg,3101706,5447993.750000001,3111770.2800000003,Infinity,Infinity,
iporanga-sp,3521200,2722164.39,567607.14,Infinity,Infinity,
coxixola-pb,2504850,1266515.04,464946.73,Infinity,Infinity,
piedade-dos-gerais-mg,3150406,1528141.72,737550,Infinity,Infinity,
piedade-de-ponte-nova-mg,3150208,787031.59,581520,Infinity,Infinity,
conselheiro-mairinck-pr,4106100,1086513.83,1059235.95,Infinity,Infinity,
fernando-de-noronha-pe,2605459,500000,481104,Infinity,Infinity,
caturama-ba,2907558,456500,,Infinity,NaN,
jequitinhonha-mg,3135803,1718407.77,919450,Infinity,Infinity,
palmopolis-mg,3146750,2459493.9400000004,878800,Infinity,Infinity,
pingo-d-agua-mg,3150539,3024866.6799999997,2533807.14,Infinity,Infinity,
manhuacu-mg,3139409,12726098.55,763576.19,Infinity,Infinity,
pontal-do-parana-pr,4119954,5022439.75,1044140,Infinity,Infinity,
lambari-mg,3137809,2571209.72,1501550,Infinity,Infinity,
itambe-do-mato-dentro-mg,3132800,1065769.78,1040595,Infinity,Infinity,
cedro-do-abaete-mg,3115607,273215.47,245850,Infinity,Infinity,
quixaba-pb,2512606,1849413,0,Infinity,NaN,
taquarivai-sp,3553856,1790676.73,953307.14,Infinity,Infinity,
amapa-ap,1600105,11695947,1915038.2,Infinity,Infinity,
fortuna-de-minas-mg,3126406,1167210.05,0,Infinity,NaN,
palma-mg,3146701,1259779.52,472667,Infinity,Infinity,
arraial-do-cabo-rj,3300258,246824.42,245850,Infinity,Infinity,
carnaubeira-da-penha-pe,2603926,1020464.6200000001,645908,Infinity,Infinity,
xexeu-pe,2616506,683024.86,394200,Infinity,Infinity,
taperoa-ba,2931202,3285042.7399999998,1380400,Infinity,Infinity,
guarda-mor-mg,3128600,1745208.5100000002,1542357.1400000001,Infinity,Infinity,
guamare-rn,2404507,1636185.56,0,Infinity,NaN,
mimoso-de-goias-go,5213053,2608376.02,902016.3400000001,Infinity,Infinity,
mesquita-mg,3141702,1547646.07,730450,Infinity,Infinity,
ilha-de-itamaraca-pe,2607604,1189796.5299999998,113563.22,Infinity,Infinity,
tapirai-mg,3168200,468932.14,222857.14,Infinity,Infinity,
pindare-mirim-ma,2108504,1424624.74,243750,Infinity,Infinity,
passa-vinte-mg,3147808,1057587.44,484600,Infinity,Infinity,
rubim-mg,3156601,991705,238750,Infinity,Infinity,
mae-do-rio-pa,1504059,1737500,970201.94,Infinity,Infinity,
condado-pb,2504504,6541872.13,3530041.2,Infinity,Infinity,
carrapateira-pb,2504108,1076876.56,222857.14,Infinity,Infinity,
tailandia-pa,1507953,1426024.88,122925,Infinity,Infinity,
aveiro-pa,1501006,734000,0,Infinity,NaN,
colares-pa,1502608,892352.2,0,Infinity,NaN,
ruropolis-pa,1506195,597500,0,Infinity,NaN,
bandeira-mg,3105202,861813.76,306686,Infinity,Infinity,
restinga-sp,3542701,507228,477500,Infinity,Infinity,
ibitiura-de-minas-mg,3129905,623386.7,0,Infinity,NaN,
saboeiro-ce,2311900,4297517.95,1282900,Infinity,Infinity,
barcelona-rn,2401503,1527399.98,147650,Infinity,Infinity,
rosana-sp,3544251,1400090.88,557107.14,Infinity,Infinity,
trabiju-sp,3554755,789252.53,445714.28,Infinity,Infinity,
independencia-ce,2305605,3825961.37,2702973.0300000003,Infinity,Infinity,
tremembe-sp,3554805,3786178.36,1537606,Infinity,Infinity,
casserengue-pb,2504157,3287716.98,578933.01,Infinity,Infinity,
andorinha-ba,2901353,4569355.74,3317819,Infinity,Infinity,
inaja-pr,4110300,904783.72,0,Infinity,NaN,
flora-rica-sp,3515806,563158.45,443342,Infinity,Infinity,
florida-pr,4108106,2320708.7800000003,1567896,Infinity,Infinity,
barbacena-mg,3105608,3595558.15,1464907.1400000001,Infinity,Infinity,
vitorino-freire-ma,2113009,2343462.74,1100635,Infinity,Infinity,
curua-pa,1502855,338744.11,120501.44,Infinity,Infinity,
tracunhaem-pe,2615508,195000,,Infinity,NaN,
seropedica-rj,3305554,11605519.7,0,Infinity,NaN,
paraiba-do-sul-rj,3303708,6040206.289999999,0,Infinity,NaN,
biritiba-mirim-sp,3506607,16247518.369999997,4312732.37,Infinity,Infinity,
parau-rn,2408706,2602128.1,2022327.3900000001,Infinity,Infinity,
itaju-do-colonia-ba,2915403,1014207.14,476310,Infinity,Infinity,
boca-do-acre-am,1300706,5755938,0,Infinity,NaN,
jacuipe-al,2703502,969564.29,394200,Infinity,Infinity,
urucara-am,1304302,1114728,987600,Infinity,Infinity,
