_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum,_regional_saude_populacao_quadrienio,_regional_saude_frota_quadrienio,_regional_saude_vlr_investimento_por_hab,_regional_saude_vlr_repasse_financiamento_por_hab,_regional_saude_vlr_contrapartida_por_hab,_regional_saude_vlr_investimento_por_frota,_regional_saude_vlr_repasse_financiamento_por_frota,_regional_saude_vlr_contrapartida_por_frota
33008,Norte,2018-2021,466000,460952.38,5047.62,964428,388625,0.4831879621910604,0.4779541655779384,0.005233796613121975,1.1990993888710195,1.186110981022837,0.012988407848182695
33009,Serrana,2018-2021,1000019.79,960019,40000.79,981159,505749,1.0192229699773432,0.9784540528089739,0.040768917168369244,1.977304532485482,1.8982123543496874,0.07909217813579464
35011,Alto do Tietê,2018-2021,1096317.24,955000,141317.24,3092717,1454742,0.3544835301775106,0.3087899733470602,0.04569355683045037,0.7536162701015026,0.6564737939785886,0.09714247612291388
35012,Franco da Rocha,2018-2021,28158375.32,25000000,3158375.32,624533,263821,45.08708958533816,40.02991034901278,5.057179236325382,106.73288070320407,94.76122067614025,11.971660027063804
33008,Norte,2014-2017,2577154.95,1678500,898654.9500000001,910045,352881,2.831898367663138,1.8444142872055778,0.9874840804575599,7.303184217909154,4.756560993649417,2.5466232242597364
33009,Serrana,,1042263.26,986200,56063.26,,,,,,,,
33009,Serrana,2014-2017,4178763.26,4149600,29163.260000000002,942948,450658,4.431594594823893,4.400666844831316,0.030927749992576477,9.272582002316613,9.207869382103501,0.06471262021311061
35011,Alto do Tietê,,505830915.36,413243750,92587165.36,,,,,,,,
35011,Alto do Tietê,2014-2017,1986663.85,1745831.3599999999,240832.49,2958914,1279417,0.6714165568853978,0.5900243670481805,0.0813921898372173,1.5527883793946775,1.3645522609125875,0.18823611848208988
35012,Franco da Rocha,,579557.46,491700,87857.45999999999,,,,,,,,
35014,Rota dos Bandeirantes,2014-2017,66500000,61500000,5000000,1863062,958412,35.69392752361435,33.010173574470414,2.683753949143936,69.38560869438196,64.16864563465398,5.216963059727966
35014,Rota dos Bandeirantes,,2785760,2563900,221860,,,,,,,,
35015,Grande ABC,,99438563.9,73789050.8,25649513.1,,,,,,,,
35015,Grande ABC,2014-2017,214396169.09,213155169.09,1241000,2753406,1649231,77.86580296912261,77.4150884722413,0.45071449688131715,129.99765896348055,129.2451870538451,0.7524719096354604
35016,São Paulo,,4509152320.900001,2716843113.33,1792309207.57,,,,,,,,
35063,Polo Cuesta,2018-2021,516946.23,481104,35842.23,322995,195671,1.6004774996516973,1.4895091255282589,0.11096837412343845,2.64191540902842,2.458739414629659,0.1831759943987612
35171,Alto Vale do Paraíba,2018-2021,2336508.27,2331835.25,4673.02,1124606,670352,2.0776238700487104,2.07346861923198,0.004155250816730482,3.4854945909014967,3.478523596558226,0.006970994343270402
35016,São Paulo,2014-2017,2497191522.16,2494345473.16,2846049,12106920,7700558,206.26150351699687,206.02642729612484,0.2350762208720302,324.2870870084999,323.9174970385263,0.3695899699736045
35031,Central do DRS III,,587843.3,493100,94743.3,,,,,,,,
35033,Norte do DRS III,,37440,28080,9360,,,,,,,,
35041,Baixada Santista,,253469268.14999998,253055929.29,413338.86,,,,,,,,
35062,Bauru,,146250,146250,0,,,,,,,,
35065,Lins,,367950,346950,21000,,,,,,,,
35072,Região Metropolitana de Campinas,,7473157.8100000005,7172705.43,300452.38,,,,,,,,
35072,Região Metropolitana de Campinas,2014-2017,193712441.08,94478422.99,99234018.09,3148522,2067532,61.52488090602512,30.007229738270844,31.517651167754266,93.69259633224542,45.696232508130464,47.99636382411494
35073,Jundiaí,,243871.62,200000,43871.62,,,,,,,,
35082,Alta Anhanguera,,200000,200000,0,,,,,,,,
35091,Adamantina,,1562500,1500000,62500,,,,,,,,
35093,Marília,,275500,267500,8000,,,,,,,,
35104,Rio Claro,,100000,100000,0,,,,,,,,
35121,Vale do Ribeira,,100000,100000,0,,,,,,,,
35131,Horizonte Verde,,322345.58999999997,248200,74145.59,,,,,,,,
35155,São José do Rio Preto,,201000,196400,4600,,,,,,,,
35163,Sorocaba,,923000,850000,73000,,,,,,,,
35171,Alto Vale do Paraíba,2014-2017,3426685.85,3150780.55,275905.30000000005,1078827,605359,3.176307090942292,2.920561452392274,0.2557456385500178,5.660584628294946,5.204813259569941,0.45577136872500457
35174,Vale do Paraíba/Região Serrana,,970630.68,887300,83330.68,,,,,,,,
41002,2ª RS Metropolitana,,1817000000,1085000000,732000000,,,,,,,,
41002,2ª RS Metropolitana,2018-2021,367549.86,335755,31794.86,3731769,2549445,0.09849212531643839,0.08997207490602982,0.008520050410408576,0.1441685778669475,0.131697290979017,0.01247128688793051
41002,2ª RS Metropolitana,2014-2017,2361606164.79,2191719784.29,169886380.5,3572326,2265827,661.0836090519174,613.5273724430525,47.55623660886492,1042.2711728609465,967.2935243026056,74.97764855834095
41003,3ª RS Ponta Grossa,,1155627,1138150,17477,,,,,,,,
41004,4ª RS Irati,,306500,300000,6500,,,,,,,,
41005,5ª RS Guarapuava,2014-2017,502962,493100,9862,461693,219548,1.0893862371749192,1.068025722720509,0.02136051445441018,2.290897662470166,2.245978100460947,0.04491956200921894
41008,8ª RS Francisco Beltrão,,982186.94,900000,82186.94,,,,,,,,
41015,15ª RS Maringá,,8052479.17,7348600,703879.1699999999,,,,,,,,
41015,15ª RS Maringá,2018-2021,299897,238750,61147,856843,568334,0.35000227579614934,0.27863914392718386,0.0713631318689655,0.5276773868886957,0.4200874837683475,0.10758990312034825
41017,17ª RS Londrina,,6438000,6438000,0,,,,,,,,
41017,17ª RS Londrina,2014-2017,347027.1,344750,2277.1,950821,580495,0.3649762678779707,0.3625813901880585,0.0023948776899121917,0.5978123842582623,0.5938896975856812,0.003922686672581159
41018,18ª RS Cornélio Procópio,,1260154.61,1234850,25304.61,,,,,,,,
42001,Extremo Oeste,,464963.42,361730,103233.42,,,,,,,,
42003,Xanxerê,,670137.88,586233,83904.88,,,,,,,,
42004,Alto Vale do Itajaí,,1909337.86,1482190,427147.86000000004,,,,,,,,
42005,Foz do Rio Itajaí,,1681716.26,1287190,394526.26,,,,,,,,
42006,Médio Vale do Itajaí,,2301837.95,1838230,463607.95,,,,,,,,
42007,Grande Florianópolis,2014-2017,40650125.41,36150125.41,4500000,1172076,763113,34.6821583327361,30.84281685658609,3.8393414761500106,53.26881524754525,47.37191662309513,5.896898624450114
42007,Grande Florianópolis,,204017490.35000002,177362825.09,26654665.26,,,,,,,,
42008,Meio Oeste,,219334.14,146950,72384.14,,,,,,,,
42009,Alto Vale do Rio do Peixe,,363000,345850,17150,,,,,,,,
42011,Nordeste,,1304620.31,1015215,289405.31,,,,,,,,
42012,Planalto Norte,,1968441.4000000001,1498075,470366.4000000001,,,,,,,,
42013,Serra Catarinense,,415398.73,362430,52968.729999999996,,,,,,,,
42014,Extremo Sul Catarinense,,1445253.2399999998,1107070,338183.24,,,,,,,,
42014,Extremo Sul Catarinense,2014-2017,387468.25,381029.49,6438.76,198774,138393,1.9492904001529374,1.9168980349542697,0.03239236519866783,2.799767690562384,2.753242505039995,0.04652518552238914
42015,Carbonífera,,1412895.45,1230200,182695.44999999998,,,,,,,,
42016,Laguna,,467853.26,440850,27003.260000000002,,,,,,,,
43001,Região 01 - Verdes Campos,,181514018.9,172415729.05,9098289.85,,,,,,,,
43002,Região 02 - Entre Rios,2018-2021,240000,238856,1144,122300,70795,1.9623875715453802,1.953033524121014,0.009354047424366312,3.390069920192104,3.373910586905855,0.01615933328624903
43003,Região 03 - Fronteira Oeste,,103500,100000,3500,,,,,,,,
43003,Região 03 - Fronteira Oeste,2018-2021,268856,238856,30000,454882,204973,0.5910455898452786,0.5250944200913643,0.0659511697539142,1.3116654388626794,1.1653046986676294,0.14636074019505008
43008,Região 08 - Vale do Caí e Metropolitana,2018-2021,316425.48,238856,77569.48,787814,458864,0.40164998337170954,0.30318831602383306,0.09846166734787652,0.6895844520380766,0.5205376756511734,0.1690467763869033
43008,Região 08 - Vale do Caí e Metropolitana,2014-2017,10059081.74,9704875.46,354206.28,767170,409954,13.111933130857567,12.650228058969981,0.46170507188758686,24.53709865009245,23.67308395576089,0.8640146943315592
43009,Região 09 - Carbonífera/Costa Doce,,307039.92,300000,7039.92,,,,,,,,
43010,Região 10 - Capital e Vale do Gravataí,,3979079464.29,2911243750,1067835714.29,,,,,,,,
43010,Região 10 - Capital e Vale do Gravataí,2014-2017,315822,311124,4698,2356953,1234464,0.1339958836684482,0.13200263221201272,0.001993251456435491,0.255837351271483,0.2520316509837468,0.003805700287736216
43011,Região 11 - Sete Povos das Missões,,320254,295300,24954,,,,,,,,
43013,Região 13 - Diversidade,2018-2021,239106,238856,250,229644,162991,1.0412029053665675,1.0401142638170386,0.0010886415495288358,1.4669889748513723,1.4654551478302482,0.0015338270211238657
43017,Região 17 - Planalto,,6241340,800000,5441340,,,,,,,,
43020,Região 20 - Rota da Produção,2018-2021,300103.99,238750,61353.99,162885,102952,1.8424286459772232,1.465758050158087,0.3766705958191362,2.914989412541767,2.319041883596239,0.5959475289455279
43026,Região 26 - Uva Vale,2018-2021,385370.86,286500,98870.86,192500,131173,2.001926545454545,1.4883116883116883,0.5136148571428572,2.9378824910614227,2.184138504112889,0.7537439869485336
