_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum
23020,20ª Região Crato,2018-2021,21207271.89,20823295.91,383975.98
23022,22ª Região Cascavel,2018-2021,37674059.35999999,35565533.36,2108526
23018,18ª Região Iguatú,2014-2017,25814226.11,24770240.79,1043985.3200000001
23019,19ª Região Brejo Santo,2014-2017,10769266.79,10429468.67,339798.12
23019,19ª Região Brejo Santo,,16909854.880000003,16254088.870000001,655766.01
23020,20ª Região Crato,,26016294.33,23616904.44,2399389.8899999997
23020,20ª Região Crato,2014-2017,9561465.340000002,9363752.68,197712.66000000003
23021,21ª Região Juazeiro do Norte,,19634428.43,17656468.490000002,1977959.9400000004
23021,21ª Região Juazeiro do Norte,2018-2021,17923182.71,13792201.07,4130981.64
24001,1ª Região de Saúde - São José de Mipibu,2018-2021,55207166.38,53037430.03,2169736.35
23021,21ª Região Juazeiro do Norte,2014-2017,16135886.79,14519386.4,1616500.3900000001
23022,22ª Região Cascavel,,47907070.61,44396309.78999999,3510760.8200000003
23022,22ª Região Cascavel,2014-2017,21767768.779999997,20268196.67,1499572.1099999996
24001,1ª Região de Saúde - São José de Mipibu,,40619348.54000001,38900569.58,1718778.9600000004
24001,1ª Região de Saúde - São José de Mipibu,2014-2017,16838219.91,16432662.389999999,405557.51999999996
24002,2ª Região de Saúde - Mossoró,,116369823.99000001,112410910.49000001,3958913.5
24002,2ª Região de Saúde - Mossoró,2014-2017,51290869.599999994,48800571.06999999,2490298.5299999993
24003,3ª Região de Saúde - João Câmara,,39074594.92999999,36974927.31999999,2099667.6100000003
24006,6ª Região de Saúde - Pau dos Ferros,2018-2021,45494613.42000001,44009651.41,1484962.0100000002
24003,3ª Região de Saúde - João Câmara,2014-2017,9323713.809999999,9029181.54,294532.27
24004,4ª Região de Saúde - Caicó,,54980304.149999976,51969952.98,3010351.1700000013
24004,4ª Região de Saúde - Caicó,2014-2017,24183717.66,21383143.189999998,2800574.4699999997
24005,5ª Região de Saúde - Santa Cruz,,35685142.67999999,34142649.45,1542493.2300000004
24005,5ª Região de Saúde - Santa Cruz,2014-2017,13564121.21,13269791.940000001,294329.27
24006,6ª Região de Saúde - Pau dos Ferros,,80169043.08999997,77624853.91,2544189.180000001
24006,6ª Região de Saúde - Pau dos Ferros,2014-2017,28466607.51,27752356.209999997,714251.3000000002
24007,7ª Região de Saúde - Metropolitana,,1007423891.0999999,758021980.0199999,249401911.07999992
24007,7ª Região de Saúde - Metropolitana,2018-2021,156637815.26999998,151639270.35,4998544.919999999
24008,8ª Região de Saúde - Açu,2018-2021,19726363.749999996,18870848.89,855514.8599999999
25003,3ª Região,2018-2021,15865538.370000001,15023354.82,842183.5499999999
25004,4ª Região,2018-2021,13371621.18,12979896.61,391724.57
25012,12ª Região,2018-2021,32904328.52,32751053.689999998,153274.83000000005
24007,7ª Região de Saúde - Metropolitana,2014-2017,12227425.049999999,9853984.72,2373440.3300000005
24008,8ª Região de Saúde - Açu,,26366193.52,24650273.85,1715919.6699999995
25001,1ª Região Mata Atlântica,2018-2021,102843168.26999998,99759829.64,3083338.6299999994
25010,10ª Região,2018-2021,9259075.5,9219505.66,39569.84
24008,8ª Região de Saúde - Açu,2014-2017,8410212.7,8112728.899999999,297483.8
25001,1ª Região Mata Atlântica,2014-2017,302190011.34999996,264038196.38,38151814.97
25001,1ª Região Mata Atlântica,,460828875.63,433345926.53999996,27482949.09
25002,2ª Região,,41834613.24,40286445.8,1548167.44
25002,2ª Região,2018-2021,31753194.819999993,30715672.48,1037522.34
25005,5ª Região,2018-2021,28468940.84,27820194.27,648746.5699999998
25008,8ª Região,2018-2021,34133892.09,33619075.44,514816.65
25002,2ª Região,2014-2017,22871285.64,22470487.610000007,400798.02999999997
25003,3ª Região,,32632530.93,31273012.67,1359518.2600000002
25003,3ª Região,2014-2017,11311396.05,11259666.030000001,51730.02
25004,4ª Região,,15284850.55,14805336,479514.55
25004,4ª Região,2014-2017,4551781.08,4452388.43,99392.65
25005,5ª Região,,28960898.28000001,27780301.830000002,1180596.4499999997
25006,6ª Região,2018-2021,50625181.199999996,49788241.42,836939.78
25005,5ª Região,2014-2017,6308249.63,6227775.37,80474.26
25006,6ª Região,2014-2017,38785828.64,37020579.11,1765249.5299999996
25006,6ª Região,,65158983.58,62916160.41,2242823.1700000004
25007,7ª Região,,29682719.14,29204466.8,478252.33999999997
25007,7ª Região,2018-2021,37334700.79,36707039.06,627661.73
25007,7ª Região,2014-2017,14740037.8,14386338.42,353699.38
25008,8ª Região,,44498501.39,43252706.94,1245794.4500000004
25008,8ª Região,2014-2017,8798995.400000002,8552816.07,246179.33000000002
25009,9ª Região,,31520318.58,30664167.4,856151.18
25009,9ª Região,2018-2021,17526843.09,17312706.52,214136.57
25009,9ª Região,2014-2017,18629287.009999998,18119709.33,509577.68
25010,10ª Região,,19537521.27,18915914.7,621606.57
25010,10ª Região,2014-2017,7544246.100000001,7425024.08,119222.02
